Premier League 2011;Premier League 2012;Premier League 2013;Premier League 2014;Premier League 2011,Premier League 2012,Premier League 2013,Premier League 2014
betError =  0.58934;betError =  0.56461;betError =  0.54291;betError =  0.55740;betError =  0.58934,betError =  0.56461,betError =  0.54291,betError =  0.55740
ourError =  0.59653;ourError =  0.58166;ourError =  0.59406;ourError =  0.60966;ourError =  0.59653,ourError =  0.58166,ourError =  0.59406,ourError =  0.60966
btError =  0.60864;btError =  0.59744;btError =  0.55572;btError =  0.60126;btError =  0.60864,btError =  0.59744,btError =  0.55572,btError =  0.60126
money = -5.8200;money =  4.9000;money = -11.250;money = -10.170;money = -5.8200,money =  4.9000,money = -11.250,money = -10.170
betCount =  35;betCount =  73;betCount =  36;betCount =  83;betCount =  35,betCount =  73,betCount =  36,betCount =  83
;;;;,,,
;;;;,,,
la liga 2011;la Liga 2012;la Liga 2013;la Liga 2014;la liga 2011,la Liga 2012,la Liga 2013,la Liga 2014
betError =  0.54598;betError =  0.56417;betError =  0.57908;betError =  0.52317;betError =  0.54598,betError =  0.56417,betError =  0.57908,betError =  0.52317
ourError =  0.58736;ourError =  0.60205;ourError =  0.60473;ourError =  0.56172;ourError =  0.58736,ourError =  0.60205,ourError =  0.60473,ourError =  0.56172
btError =  0.57837;btError =  0.58916;btError =  0.59016;btError =  0.55888;btError =  0.57837,btError =  0.58916,btError =  0.59016,btError =  0.55888
money = -1.9400;money = -1.5600;money = -8.8200;money = -0.93000;money = -1.9400,money = -1.5600,money = -8.8200,money = -0.93000
betCount =  41;betCount =  40;betCount =  77;betCount =  80;betCount =  41,betCount =  40,betCount =  77,betCount =  80
;;;;,,,
;;;;,,,
Bundesliga 2011;Bundesliga 2012;bundesliga 2013;Bundesliga 2014;Bundesliga 2011,Bundesliga 2012,bundesliga 2013,Bundesliga 2014
betError =  0.58945;betError =  0.57448;betError =  0.55724;betError =  0.57268;betError =  0.58945,betError =  0.57448,betError =  0.55724,betError =  0.57268
ourError =  0.59097;ourError =  0.58622;ourError =  0.60125;ourError =  0.60604;ourError =  0.59097,ourError =  0.58622,ourError =  0.60125,ourError =  0.60604
btError =  0.59994;btError =  0.59794;btError =  0.57803;btError =  0.60349;btError =  0.59994,btError =  0.59794,btError =  0.57803,btError =  0.60349
money =  12.920;money =  10.560;money = -3.2400;money =  8.7000;money =  12.920,money =  10.560,money = -3.2400,money =  8.7000
betCount =  35;betCount =  56;betCount =  23;betCount =  70;betCount =  35,betCount =  56,betCount =  23,betCount =  70
